frame_id,p1_hp,p2_hp,p1_meter,p2_meter,macro_ready,timer,UP,DOWN,LEFT,RIGHT,Y,X,Z,A,B,C,D,pressed_buttons
0,12,75,14,96,0,42,0,0,0,0,0,0,0,1,0,0,0,A
1,12,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
2,12,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
3,12,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
4,12,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
5,12,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
6,12,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
7,12,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
8,12,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
9,12,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
10,12,75,14,96,0,42,0,0,0,1,0,0,0,0,0,0,0,RIGHT
11,12,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
12,12,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
13,11,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
14,11,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
15,10,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
16,9,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
17,8,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
18,8,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
19,7,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
20,6,75,14,96,0,42,1,0,0,1,0,0,0,0,0,0,0,UP+RIGHT
21,5,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
22,5,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
23,4,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
24,3,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
25,2,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
26,1,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
27,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
28,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
29,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
30,0,75,14,96,0,42,0,0,0,0,0,0,0,0,1,0,0,B
31,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
32,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
33,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
34,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
35,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
36,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
37,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
38,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
39,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
40,0,75,14,96,0,42,0,1,0,0,0,0,0,0,0,0,0,DOWN
41,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
42,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
43,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
44,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
45,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
46,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
47,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
48,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
49,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
50,0,75,14,96,0,42,0,0,0,0,0,0,1,0,0,0,0,Z
51,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
52,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
53,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
54,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
55,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
56,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
57,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
58,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
59,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
60,0,75,14,96,0,42,1,0,0,1,0,0,0,0,0,0,0,UP+RIGHT
61,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
62,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
63,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
64,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
65,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
66,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
67,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
68,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
69,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
70,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
71,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
72,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
73,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
74,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
75,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
76,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
77,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
78,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
79,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
80,0,75,14,96,0,42,0,0,0,0,1,0,0,0,0,0,0,Y
81,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
82,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
83,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
84,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
85,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
86,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
87,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
88,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
89,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
90,0,75,14,96,0,42,0,0,1,0,0,0,0,0,0,0,0,LEFT
91,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
92,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
93,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
94,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
95,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
96,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
97,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
98,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
99,0,75,14,96,0,42,0,0,0,0,0,0,0,0,0,0,0,-
