frame_id,p1_hp,p2_hp,p1_meter,p2_meter,macro_ready,timer,UP,DOWN,LEFT,RIGHT,Y,X,Z,A,B,C,D
76,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
77,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
78,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
79,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
80,0,88,31,96,0,35,0,0,0,0,0,0,0,0,1,0,0
81,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
82,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
83,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
84,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
85,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
86,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
87,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
88,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
89,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
90,0,88,31,96,0,35,0,0,0,0,1,0,0,0,0,0,0
91,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
92,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
93,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
94,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
95,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
96,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
97,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
98,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
99,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
